SubjectArea,Subject,Term,Definition
Technologies,Digital Technologies,Abstraction,"The process of reducing complexity to define a main idea, problem or solution. This is achieved by hiding details to focus on a manageable number of aspects."
Technologies,Digital Technologies,Advanced feature,"A function or peripheral that uses the specialised capabilities of digital tools (hardware and software), for example using a style sheet to automate formatting or a drone to capture field data."
Technologies,Digital Technologies,AI (artificial intelligence),A field in computer science that enables computers to perform tasks in which they are able to be trained and learn in order to solve problems. It also involves machine learning and deep learning to enable tasks to be performed in less time and for the automation of repetitive tasks.
Technologies,Digital Technologies,AI model,An algorithm that has been trained on a collection of data or data sets to recognise patterns in the data to make predictions or decisions. This is all completed without human intervention.
Technologies,Digital Technologies,AI tool,A software tool that uses artificial intelligence to automate specific tasks by analysing data and making decisions.
Technologies,Digital Technologies,AI-generated content,"New content created (e.g. text, images and video) by an application involving algorithms that use machine learning techniques to analyse and recognise patterns in data."
Technologies,Digital Technologies,Algorithm,"A description of the steps and decisions required to solve a problem. An algorithm often has iterative (repetitive) processes. An algorithm can be represented as a flowchart or pseudocode. For example, to find the largest number in a list of positive numbers: 1. Note the first number as the largest. 2. Look through the remaining numbers, in turn, and if a number is larger than the number found in step 1, note it as the largest. 3. Repeat this process until complete. The last noted number is the largest in the list."
Technologies,Digital Technologies,Alt tag,A description in text that includes the specific information included in an image. The description is displayed when mousing over the image.
Technologies,Digital Technologies,American Standard Code for Information Interchange (ASCII),"An early encoding system (that was later extended) used to represent characters, including 0--9 and a--z, in computer systems. For example, capital letter P is represented by the number 80 in ASCII, which in turn is represented as 01010000 in binary. *See also:* data representation"
Technologies,Digital Technologies,App,*See:* application
Technologies,Digital Technologies,Application (app),Software originally designed to run on mobile devices and to be quite targeted in its purpose; an app can now be considerably broader in its purpose.
Technologies,Digital Technologies,AR,*See:* augmented reality
Technologies,Digital Technologies,Artificial intelligence,*See:* AI
Technologies,Digital Technologies,ASCII,*See:* American Standard Code for Information Interchange
Technologies,Digital Technologies,Attribute,"A characteristic or property that identifies and describes an entity within a database. For example, an attribute of the entity 'person' could be 'name' or 'date of birth'."
Technologies,Digital Technologies,Augmented reality (AR),A display over an existing real-world environment with computer-generated enhancements and limited interaction.
Technologies,Digital Technologies,Australian Privacy Principles,"A component of the *Privacy Act 1988* that applies to organisations or agencies that the Privacy Act covers. The 13 Australian Privacy Principles govern the standards, rights and obligations involving: - collection, use and disclosure of personal information - integrity and correction of personal information - rights of an individual to access their personal information."
Technologies,Digital Technologies,Autocomplete,A feature in a software tool to enhance user efficiency by making predictions and suggestions based on the word or phrase that the user types.
Technologies,Digital Technologies,Automation,"The application of technology, such as a digital solution, which replaces a manual process that is typically repetitive (e.g. chatbot automation or a garage opener app)."
Technologies,Digital Technologies,Binary,"Referring to a base 2 number system that uses 2 states or permissible values to represent data, such as the on and off positions of a light switch or the transistors in a computer silicon chip, which can be in either the electrical state of ON or OFF. Binary data is typically represented as a series of single digits referred to as binary digits (or bits), each having a value of either 0 or 1."
Technologies,Digital Technologies,Bitmap,"A representation in which each item corresponds to one or more bits or pixels of information, especially the information used to control the display of a computer screen."
Technologies,Digital Technologies,Boundary condition,"A range of values that are accepted between a minimum value and a maximum value. For example, a range check in an algorithm would look at ranges of test scores entered to determine the grade of an entered score. A test score between 90 and 100 could be A+, and between 80 and 89 could be A, etc."
Technologies,Digital Technologies,Boundary test,"A testing technique that recognises that a computer program often behaves unexpectedly at the edges of an input range. For example, if the requirements for a computer program were to only accept a numeric input for a valid age field of 18 to 65 years, then boundary testing would involve using age inputs that are below the lower boundary (\<18), at the lower boundary (18), between 18 and 65, at the upper boundary (65) and above the boundary (\>65), to ensure the program produces the correct results."
Technologies,Digital Technologies,Branching (decision),"A control structure that involves making a 'yes' (true) or 'no' (false) decision based on defined conditions and the data provided, and determining the next step (e.g. 'IF it is raining take a raincoat, ELSE take a hat')."
Technologies,Digital Technologies,Cascading Style Sheets (CSS),"A style sheet language that renders the presentation of a document developed using HTML or XML. It includes the colour, font, size of text, positioning of elements in a document, images and background colours."
Technologies,Digital Technologies,Central processing unit (CPU),"The main processor in a computer, which executes instructions that run the device's operating system and software applications."
Technologies,Digital Technologies,Cloud storage,A system that enables data and files to be stored and accessed on the internet with a third-party provider. The third-party provider manages and secures the data stored.
Technologies,Digital Technologies,Comparison operators (branching),"Operators (such as \<, \<=, \> or \>=) used in an algorithmic expression to compare values, returning 'true' or 'false' to make decisions (e.g. 'IF a \< b THEN do action 1 ELSE do action 2')."
Technologies,Digital Technologies,Components,"The hardware and software parts of a digital system that perform specific functions and are needed for a system to operate. The components of a digital system may be a central processing unit (CPU); memory chips and a hard disk (for storing data and instructions); keyboard, mouse, camera and microphone (to input instructions and data for the CPU); screen, printer and speakers (to output data); USB port; and ethernet cards (to communicate with other systems or components)."
Technologies,Digital Technologies,Compression,"The process of encoding information using fewer bits (i.e. 0 or 1) than the original representation to reduce file size -- typically using mathematical formulas to remove repeated data, combine related data or simplify data (e.g. a line segment can be represented by the positions of the endpoints instead of every dot on it). Common examples include: - ZIP files, which can contain one or more files or folders that have been compressed - JPEG files in digital photography, produced by processing the complete (lossless) data from the camera's sensor by compressing (looking for redundant/unnecessary data) into a smaller file size - MP3 files for audio, which compress the original audio source to reduce the file size significantly but still sound like an exact copy of the original."
Technologies,Digital Technologies,Computational thinking,"A way of thinking comprising the components of decomposition, pattern recognition, abstraction, modelling and algorithms, which may be used to create digital solutions."
Technologies,Digital Technologies,Concept map,A visual diagram that represents relationships between concepts and ideas. It can assist in the design of user interfaces and experiences.
Technologies,Digital Technologies,Constraints,"Conditions or limitations (e.g. economic, technical, social and legal) that must be considered when designing a digital solution."
Technologies,Digital Technologies,Control structures,"The decision-making building blocks of an algorithm that determine or control the sequence or order in which statements are executed. The 3 control structures are sequence, branching (selection) and iteration (repetition)."
Technologies,Digital Technologies,Convention,"A rule or preferred standard about how content is to be created, located and communicated (e.g. using agreed formatting styles for headings and charts, and a common file-naming system)."
Technologies,Digital Technologies,Country,"The physical environment that a particular Aboriginal and Torres Strait Islander Peoples' group has a relationship with. Referring to this territory as 'Country', rather than land, indicates a reciprocal and deep relationship and one where Country both owns and is owned by the People. The concept of Country includes lands, waters and sky."
Technologies,Digital Technologies,CPU,*See:* central processing unit
Technologies,Digital Technologies,Cryptography,An algorithm for securing data that involves the encryption of data. Symmetric encryption uses a single key to encrypt and decrypt data. Asymmetric encryption uses 2 different keys to encrypt and decrypt data: a public key and a private key. Data is encrypted with the public key and decrypted with the private key.
Technologies,Digital Technologies,CSS,*See:* Cascading Style Sheets
Technologies,Digital Technologies,Cyber attack,"An unauthorised attempt to access a digital system. This can involve the theft or exposure of an individual's or an organisation's data. Data access can be disabled, and data can be altered or destroyed. Examples of cyber attacks include malware, phishing and denial-of-service attacks."
Technologies,Digital Technologies,Cyber security,"Technologies, processes and practices taken to protect digital systems and networks from theft or damage to their hardware, software, data or to the disruption of services."
Technologies,Digital Technologies,Cyber security threat,"A malicious act designed to damage or steal stored and transmitted data, or to disrupt networked digital systems (e.g. distributed denial-of-service attacks, phishing or ransomware)."
Technologies,Digital Technologies,Cybercriminal,"An individual that commits a cybercrime using computer systems, networks or online devices. Examples of cybercriminal activities are the stealing of personal data, details of credit card transactions and intellectual property."
Technologies,Digital Technologies,Data,"The discrete representation of information, done using characters (e.g. letters, numbers and symbols), images, sounds and/or instructions, that when represented by number codes can be manipulated, stored and communicated by digital systems. Data is processed into information. 'Data' is also a general term for a set of observations or measurements collected during an investigation. Primary data is collected by the user; secondary data has been collected by others."
Technologies,Digital Technologies,Data acquisition,"Ways of collecting and accessing data from a range of sources (e.g. collection by counting objects, surveys and tables)."
Technologies,Digital Technologies,Data compression,The process of encoding data; using less data than the original representation to reduce size.
Technologies,Digital Technologies,Data representation,"How data is represented and structured symbolically for storage and communication, by people and digital systems (e.g. people read symbols, and digital systems use binary to represent letters)."
Technologies,Digital Technologies,Data visualisation,The process of presenting data in a summarised visual form to help with communication and analysis (e.g. sorting and presenting data as a line chart showing spending trends to help make financial decisions).
Technologies,Digital Technologies,Database,"A collection of data organised by records and fields that can be easily stored, accessed, managed and updated. Each discrete piece of data to be stored is represented by a field (e.g. a song title, song artist or bank account number and date of transaction), and the values in the fields (e.g. a song or a bank transaction) associated with an entity are a record. Interaction with the database usually takes place through a user interface designed specifically for the structure and use of the data stored in it."
Technologies,Digital Technologies,Debugging,"A systematic process that involves finding existing errors in a program, fixing them and validating if the changes made are correct."
Technologies,Digital Technologies,Decomposition,"The process of breaking down a problem into simpler, less complex components that allow the problem to be better understood. For example, to create an interactive story the problem could be decomposed to a list of characters and their characteristics (e.g. clothing), the actions of the characters, the backdrops and the sequence of scenes with reference to the characters, actions and backdrops for each scene. Iterative questioning helps to understand a problem and reveal possible solutions."
Technologies,Digital Technologies,Decryption,The process of converting encrypted data into a readable format. Unencrypted data is referred to as plaintext and encrypted data is referred to as cyphertext.
Technologies,Digital Technologies,Design thinking,"An approach that helps people to identify with and understand problems, needs and opportunities; generate, iterate and represent innovative, user-centred ideas; and analyse and evaluate those ideas."
Technologies,Digital Technologies,Digital footprint,The total set of traceable data left behind by a person using digital tools. A person's digital footprint includes active data (e.g. posts and emails) and passive data (e.g. browser history). Location data can also be included.
Technologies,Digital Technologies,Digital identity,"The relationship between an individual and their digital presence. Digital identity can also be referred to as online identity. Information about an individual can be determined by their digital identity. This could include usernames, passwords, names, birthdays, images and other personal information such as location data."
Technologies,Digital Technologies,Digital solution,"The result (or output) of transforming data into information using digital systems, skills, techniques and processes to meet a problem, need or opportunity."
Technologies,Digital Technologies,Digital system,"A system that processes data in binary, made up of hardware, controlled by software, and connected to form networks (e.g. a laptop and a networked banking system)."
Technologies,Digital Technologies,Digital tools,"Digital hardware, software and resources used to develop and communicate learning, ideas and information."
Technologies,Digital Technologies,DNS,*See:* domain name system
Technologies,Digital Technologies,Domain name system (DNS),A system that enables domain names to be converted into IP addresses. This allows web browsers to link to websites so that users can access content on webpages.
Technologies,Digital Technologies,Effectiveness,"A measure of how well digital tools are used to create, locate, communicate, share and plan tasks. Measures include accessibility, accuracy, attractiveness, clarity, communication of message, completeness, maintainability, readability, relevance, timeliness and usability."
Technologies,Digital Technologies,Encryption,A cryptographic process that protects data stored and transmitted by digital systems. It involves encoding data so that the data can only be decoded by the intended recipient using a secret key.
Technologies,Digital Technologies,Entities,Key elements of a data modelling technique that represents the entities (e.g. employees and their department) and their relationships (e.g. one department has many employees).
Technologies,Digital Technologies,Ethical obligations,"Generally accepted rules or behaviours when undertaking research and collecting and using information from primary and secondary sources. Examples are confidentiality, informed consent, citation and integrity of data."
Technologies,Digital Technologies,Extensible Markup Language (XML),"A markup language and file format that follows a set of rules for defining, storing and sharing data."
Technologies,Digital Technologies,Features,"Distinctive properties, characteristics, functions and qualities of an object, material, living thing, system or event that affect how it performs or operates."
Technologies,Digital Technologies,Flowchart,"A diagrammatic representation of an algorithm. Steps and decisions are represented by specific-shaped symbols, and arrows indicate sequence."
Technologies,Digital Technologies,Functional requirements,"A set of specifications or functions that describe what a digital solution must provide. An example is the required input, output and functions of a solution, processing speed/response times, a storage capacity or a security function."
Technologies,Digital Technologies,General-purpose programming language,"A text-based programming language designed to solve a wide range of programming problems (rather than a language designed for solving domain-specific problems or for pedagogical reasons). It includes procedural, functional and object-oriented programming languages, but does not include declarative programming languages such as Prolog or SQL. It includes scripting and/or dynamically typed languages such as Python and Ruby. Examples are C#, C++, Java, JavaScript, Python, Ruby and Visual Basic."
Technologies,Digital Technologies,Generative AI,"An application that uses machine language to identify patterns and structure in learning. These applications can generate content such as text (including programming languages), images and other media, including video."
Technologies,Digital Technologies,Hardware,Physical components of a digital system. Hardware comprises internal components (e.g. motherboard and CPU) and external peripherals (e.g. microphone and keyboard).
Technologies,Digital Technologies,Hardware specifications,"Technical descriptions of the capabilities of hardware components (e.g. descriptions of storage memory size, in gigabytes, and speed of the central processing unit, in gigahertz)."
Technologies,Digital Technologies,Hashing,"A cryptographic process for keeping sensitive data safe. It is used to validate the authenticity of data, such as passwords. It is the preferred method of storing passwords in a database and it is more secure than encryption because it is a one-way process, whereas encrypted data can always be decrypted."
Technologies,Digital Technologies,Heading hierarchy,"A system of ordering or ranking that groups content into main headings and subheadings and helps with locating information. For example, a range of font sizes from large to small shows their relative importance."
Technologies,Digital Technologies,HTML,*See:* HyperText Markup Language
Technologies,Digital Technologies,HyperText Markup Language (HTML),"The standard markup language for content to be viewed in a web browser. It enables a webpage structure that uses elements and tags to allow inclusion of text, images and video."
Technologies,Digital Technologies,Ideating,"Generating and developing ideas as part of a process that follows a cycle from starting with a concept through to developing a design. Ideas can be expressed as text, images and drawings, and in verbal form."
Technologies,Digital Technologies,Information,"Useful knowledge created from data that has been processed, organised or presented in a specific context, which carries logical meaning."
Technologies,Digital Technologies,Information systems,"The combination of digital hardware and software components (digital systems), data, processes and people that interact to create, control and communicate information."
Technologies,Digital Technologies,Input,Data acquired from a user or digital system or sensor (e.g. a light sensor for a line-following robot) to which an algorithm or program can respond.
Technologies,Digital Technologies,Integer,"A whole number, which could be a negative number (e.g. --4). It is sometimes defined as a number that can be written without a fractional component."
Technologies,Digital Technologies,Interactive,"Involving communication between a user and a digital system, with the user able to change the behaviour, view or result by providing some input, often with the support of software. For example, a spreadsheet is an interactive tool that helps users draw conclusions and make predictions."
Technologies,Digital Technologies,Internal components,"Hardware component inside a digital system for storing data (e.g. RAM), for processing data (e.g. CPU) and for connectivity purposes (e.g. motherboard). *See also:* components"
Technologies,Digital Technologies,Internet,A globally interconnected network of digital systems communicating using standardised internet protocols such as TCP/IP.
Technologies,Digital Technologies,Internet of Things (IoT),All digital devices that are used to connect and exchange data with other digital devices over the internet. These devices include sensors and software for processing data.
Technologies,Digital Technologies,Internet Protocol (IP) address,"A protocol that involves a set of rules for communicating over the internet, whether by sending an email, streaming a video or accessing a website."
Technologies,Digital Technologies,IoT,*See:* Internet of Things
Technologies,Digital Technologies,IP address,*See:* Internet Protocol address
Technologies,Digital Technologies,Iteration (repetition),"Iteration involves the repetition of a set of steps or instructions (processes) in an algorithm or program (e.g. a loop in a flowchart or a repeat block of FOR, WHILE statements)."
Technologies,Digital Technologies,Joint Photographic Experts Group (JPEG),An image file format that uses lossy compression to reduce image file sizes and maintain image quality.
Technologies,Digital Technologies,JPEG,*See:* Joint Photographic Experts Group
Technologies,Digital Technologies,Likert scale,"A rating system that measures responses within a survey. Usually it would include a 5-point rating system to include the following scale of responses: 'strongly disagree' (1), 'disagree' (2), 'neither agree nor disagree' (3), 'agree' (4) and 'strongly agree' (5)."
Technologies,Digital Technologies,Logical operator,"An operator or function to combine Boolean (true or false) values, including AND, OR and NOT (e.g. 'the ""*x* AND *y*"" operation is only true if both *x* and *y* are true')."
Technologies,Digital Technologies,Lossless compression,Compression that reduces file sizes by removing repeated data. This data is not deleted.
Technologies,Digital Technologies,Lossy compression,A process of reducing file sizes by permanently deleting some of the original and redundant data within a file.
Technologies,Digital Technologies,Machine learning,An artificial intelligence technique that uses data and algorithms to learn over time rather than through direct programming. It enables computers to use data to identify patterns and to make decisions without human intervention.
Technologies,Digital Technologies,Malware,"An abbreviation for malicious software, malware is software used by cybercriminals to harm computer systems or networks. Malware is used to steal information, encrypt data for ransom and install software without the user's knowledge. Common types of malware include ransomware, pharming, trojans and backdoors, keyloggers, viruses and worms, web shell malware and adware."
