SubjectArea,Subject,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS12,,,,UnitHeader,,Unit 1: The presumption of innocence,,,0
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS12,,,,Paragraph,,Unit 1: The presumption of innocence,"Laws, including criminal law, aim to achieve social cohesion and protect the rights of individuals. Criminal law is aimed at maintaining social order. When a criminal law is broken, a crime is committed which is punishable and can result in criminal charges and sanctions.",,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS12,,,,Paragraph,,Unit 1: The presumption of innocence,"In this unit, students develop an understanding of legal foundations, such as the different types and sources of law, the characteristics of an effective law, and an overview of parliament and the courts. Students are introduced to and apply the principles of justice. They investigate key concepts of criminal law and apply these to actual and/or hypothetical scenarios to determine whether an accused may be found guilty of a crime. In doing this, students develop an appreciation of the manner in which legal principles and information are used in making reasoned judgments and conclusions about the culpability of an accused. Students also develop an appreciation of how a criminal case is determined, and the types and purposes of sanctions. Students apply their understanding of how criminal cases are resolved and the effectiveness of sanctions through consideration of recent criminal cases from the past four years.",,2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,,Area of Study 1 - Legal foundations,VCELSU1AS1LF01,Descriptor,,Legal foundations,This area of study provides students with foundational knowledge of laws and the Australian legal system.,,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,,Area of Study 1 - Legal foundations,VCELSU1AS1LF01,Elaboration,,Legal foundations,,"Students explore the role of individuals, laws and the legal system in achieving social cohesion and protecting the rights of individuals.",2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,,Area of Study 1 - Legal foundations,VCELSU1AS1LF01,Elaboration,,Legal foundations,,"Students consider the characteristics of an effective law, and sources and types of law.",3
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,,Area of Study 1 - Legal foundations,VCELSU1AS1LF01,Elaboration,,Legal foundations,,"They examine the relationship between parliament and the courts in law-making, and the reasons for a court hierarchy in Victoria, they also develop an understanding of the principles of justice.",4
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,,Area of Study 1 - Legal foundations,VCELSU1AS1LF02,Descriptor,,Legal foundations,"On completion of this unit the student should be able to describe the main sources and types of law, and evaluate the effectiveness of laws.",,5
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG01,Descriptor,,Proving guilt,The presumption of innocence is a fundamental principle of criminal law and provides a guarantee that an accused is presumed innocent until proven guilty beyond reasonable doubt.,,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG01,Elaboration,,Proving guilt,,"In this area of study, students develop an understanding of the purposes of and key concepts in criminal law, as well as the types of crime.",2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG01,Elaboration,,Proving guilt,,They also investigate two criminal offences in detail.,3
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG01,Elaboration,,Proving guilt,,"For each offence, students consider actual and/or hypothetical scenarios in which an accused has been charged with the offence, use legal reasoning to determine possible culpability and explain the impact of the offence on individuals and society.",4
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG02,Descriptor,,Proving guilt,"On completion of this unit the student should be able to explain the purposes and key concepts of criminal law, and use legal reasoning to argue the criminal culpability of an accused based on actual and/or hypothetical scenarios.",,5
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,,Area of Study 2 - Proving guilt,VCELSU1AS2PG03,Descriptor,,Proving guilt,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.,,6
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,,Area of Study 3 - Sanctions,VCELSU1AS3S01,Descriptor,,Sanctions,"The criminal justice system determines the guilt of an accused, and imposes sanctions on offenders.",,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,,Area of Study 3 - Sanctions,VCELSU1AS3S01,Elaboration,,Sanctions,,"In this area of study, students investigate key concepts in the determination of a criminal case, including the institutions that enforce criminal law, the purposes and types of sanctions, and alternative approaches to sentencing such as the Drug Court, Koori Courts and diversion programs.",2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,,Area of Study 3 - Sanctions,VCELSU1AS3S01,Elaboration,,Sanctions,,Students compare approaches to sentencing in Victoria to one other Australian jurisdiction.,3
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,,Area of Study 3 - Sanctions,VCELSU1AS3S01,Elaboration,,Sanctions,,"Through an investigation of criminal cases from the past four years, students apply their knowledge to discuss the effectiveness of sanctions and the ability of the Victorian criminal justice system to achieve the principles of justice.",4
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,,Area of Study 3 - Sanctions,VCELSU1AS3S02,Descriptor,,Sanctions,"On completion of this unit the student should be able to explain the key concepts in the determination of a criminal case, discuss the principles of justice in relation to experiences of the criminal justice system, and discuss the ability of sanctions to achieve their purposes.",,5
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,,Area of Study 3 - Sanctions,VCELSU1AS3S03,Descriptor,,Sanctions,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 3.,,6
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS12,,,,UnitHeader,,Unit 2: Wrongs and rights,,,0
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS12,,,,Paragraph,,Unit 2: Wrongs and rights,"Civil law aims to protect the rights of individuals. When rights are infringed, a dispute may arise requiring resolution, and remedies may be awarded. In this unit, students investigate key concepts of civil law and apply these to actual and/or hypothetical scenarios to determine whether a party is liable in a civil dispute. Students explore different areas of civil law, and the methods and institutions that may be used to resolve a civil dispute and provide remedies. They apply knowledge through an investigation of civil cases from the past four years. Students also develop an understanding of how human rights are protected in Australia and possible reforms to the protection of rights, and investigate a contemporary human rights issue in Australia, with a specific focus on one case study.",,1
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS1,,Area of Study 1 - Civil liability,VCELSU2AS1CL01,Descriptor,,Civil liability,"Civil law aims to protect the rights of individuals, groups and organisations, and provide opportunities for a wronged party to seek redress for a breach.",,1
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS1,,Area of Study 1 - Civil liability,VCELSU2AS1CL01,Elaboration,,Civil liability,,"In this area of study, students develop an understanding of key concepts in civil law and investigate two areas of civil law in detail.",2
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS1,,Area of Study 1 - Civil liability,VCELSU2AS1CL01,Elaboration,,Civil liability,,"Possible areas of civil law could include negligence, defamation, nuisance, trespass and contracts.",3
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS1,,Area of Study 1 - Civil liability,VCELSU2AS1CL01,Elaboration,,Civil liability,,"For each area of civil law, students consider actual and/or hypothetical scenarios giving rise to a civil claim, apply legal reasoning to determine possible liability for a breach of civil law and explain the impact of a breach of civil law on the parties.",4
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS1,,Area of Study 1 - Civil liability,VCELSU2AS1CL02,Descriptor,,Civil liability,"On completion of this unit the student should be able to explain the purposes and key concepts of civil law, and apply legal reasoning to argue the liability of a party in civil law based on actual and/or hypothetical scenarios.",,5
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS1,,Area of Study 1 - Civil liability,VCELSU2AS1CL03,Descriptor,,Civil liability,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.,,6
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS2,,Area of Study 2 - Remedies,VCELSU2AS2R01,Descriptor,,Remedies,Remedies may be available to a wronged party where there has been a breach of civil law.,,1
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS2,,Area of Study 2 - Remedies,VCELSU2AS2R01,Elaboration,,Remedies,,"In this area of study, students develop an appreciation of how civil disputes are resolved, including the methods and institutions available to resolve disputes, and the purposes and types of remedies.",2
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS2,,Area of Study 2 - Remedies,VCELSU2AS2R01,Elaboration,,Remedies,,"Through an investigation of civil cases from the past four years, students apply their knowledge to discuss the effectiveness of remedies and the ability of the civil justice system to achieve the principles of justice.",3
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS2,,Area of Study 2 - Remedies,VCELSU2AS2R02,Descriptor,,Remedies,"On completion of this unit the student should be able to explain the key concepts in the resolution of a civil dispute, discuss the principles of justice in relation to experiences of the civil justice system, and discuss the ability of remedies to achieve their purposes.",,4
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS2,,Area of Study 2 - Remedies,VCELSU2AS2R03,Descriptor,,Remedies,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.,,5
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS3,,Area of Study 3 - Human rights,VCELSU2AS3HR01,Descriptor,,Human rights,The protection of rights is fundamental to a democratic society.,,1
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS3,,Area of Study 3 - Human rights,VCELSU2AS3HR01,Elaboration,,Human rights,,"Rights are protected in Australia through the Australian Constitution, the Victorian Charter of Human Rights and Responsibilities and through common law and statute law, including in relation to discrimination and equal opportunity.",2
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS3,,Area of Study 3 - Human rights,VCELSU2AS3HR01,Elaboration,,Human rights,,"In this area of study, students examine the ways in which human rights are protected in Australia and consider possible reforms to the protection of human rights.",3
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS3,,Area of Study 3 - Human rights,VCELSU2AS3HR01,Elaboration,,Human rights,,"Students investigate one human rights issue in Australia, such as in relation to the right to vote, the right to freedom of religion, or the rights of First Nations peoples.",4
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS3,,Area of Study 3 - Human rights,VCELSU2AS3HR02,Descriptor,,Human rights,"On completion of this unit the student should be able to explain one contemporary human rights issue in Australia, and evaluate the ways in which rights are protected in Australia.",,5
Business and Economics,Legal Studies,Year 11,Unit 2,VCELSU2AS3,,Area of Study 3 - Human rights,VCELSU2AS3HR03,Descriptor,,Human rights,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 3.,,6
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS12,,,,UnitHeader,,Unit 3: Rights and justice,,,0
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS12,,,,Paragraph,,Unit 3: Rights and justice,"The Victorian justice system, which includes the criminal and civil justice systems, aims to protect the rights of individuals and uphold the principles of justice: fairness, equality and access. In this unit, students examine the methods and institutions in the criminal and civil justice system, and consider their appropriateness in determining criminal cases and resolving civil disputes. Students consider the Magistrates' Court, County Court and Supreme Court within the Victorian court hierarchy, as well as other means and institutions used to determine and resolve cases.",,1
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS12,,,,Paragraph,,Unit 3: Rights and justice,"Students explore topics such as the rights available to an accused and to victims in the criminal justice system, the roles of the judge, jury, legal practitioners and the parties, and the ability of sanctions and remedies to achieve their purposes. Students investigate the extent to which the principles of justice are upheld in the justice system. Throughout this unit, students apply legal reasoning and information to actual and/or hypothetical scenarios.",,2
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS1,,Area of Study 1 - The Victorian criminal justice system,VCELSU3AS1VCJS01,Descriptor,,The Victorian criminal justice system,"The purposes of the Victorian criminal justice system are to determine whether an accused person is guilty beyond reasonable doubt of an offence for which they are charged, and to impose sanctions when a person is guilty of committing a crime.",,1
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS1,,Area of Study 1 - The Victorian criminal justice system,VCELSU3AS1VCJS01,Elaboration,,The Victorian criminal justice system,,"The system includes the courts (the Magistrates’ Court, County Court and Supreme Court) and institutions such as Victoria Legal Aid and community legal centres available to assist an accused and victims of crime.",2
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS1,,Area of Study 1 - The Victorian criminal justice system,VCELSU3AS1VCJS02,Descriptor,,The Victorian criminal justice system,"In this area of study, students explore the criminal justice system, key personnel, and the use of plea negotiations to determine a criminal case.",,3
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS1,,Area of Study 1 - The Victorian criminal justice system,VCELSU3AS1VCJS02,Elaboration,,The Victorian criminal justice system,,"Students investigate the rights of the accused and of victims, and explore the purposes and types of sanctions and sentencing considerations.",4
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS1,,Area of Study 1 - The Victorian criminal justice system,VCELSU3AS1VCJS02,Elaboration,,The Victorian criminal justice system,,"They consider the impact of time, costs and cultural differences on the ability of the criminal justice system to achieve the principles of justice.",5
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS1,,Area of Study 1 - The Victorian criminal justice system,VCELSU3AS1VCJS02,Elaboration,,The Victorian criminal justice system,,Students synthesise and apply legal principles and information relevant to the criminal justice system to actual and/or hypothetical scenarios.,6
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS1,,Area of Study 1 - The Victorian criminal justice system,VCELSU3AS1VCJS03,Descriptor,,The Victorian criminal justice system,"On completion of this unit the student should be able to explain the key principles in the criminal justice system, discuss the ability of sanctions to achieve their purposes and evaluate the ability of the criminal justice system to achieve the principles of justice during a criminal case.",,7
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS1,,Area of Study 1 - The Victorian criminal justice system,VCELSU3AS1VCJS04,Descriptor,,The Victorian criminal justice system,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.,,8
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS2,,Area of Study 2 - The Victorian civil justice system,VCELSU3AS2VCJS01,Descriptor,,The Victorian civil justice system,One of the aims of the Victorian civil justice system is to restore a wronged party to the position they were originally in before a breach of civil law occurred.,,1
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS2,,Area of Study 2 - The Victorian civil justice system,VCELSU3AS2VCJS01,Elaboration,,The Victorian civil justice system,,"There are a range of institutions in Victoria that aim to help parties resolve a civil dispute, including courts (the Magistrates’ Court, County Court and Supreme Court), Consumer Affairs Victoria, and the Victorian Civil and Administrative Tribunal.",2
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS2,,Area of Study 2 - The Victorian civil justice system,VCELSU3AS2VCJS02,Descriptor,,The Victorian civil justice system,"In this area of study, students consider the factors relevant to commencing a civil claim, examine the institutions and methods used to resolve a civil dispute and explore the purposes and types of remedies.",,3
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS2,,Area of Study 2 - The Victorian civil justice system,VCELSU3AS2VCJS02,Elaboration,,The Victorian civil justice system,,Students consider the impact of time and costs on the ability of the civil justice system to achieve the principles of justice.,4
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS2,,Area of Study 2 - The Victorian civil justice system,VCELSU3AS2VCJS02,Elaboration,,The Victorian civil justice system,,Students synthesise and apply legal principles and information relevant to the civil justice system to actual and/or hypothetical scenarios.,5
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS2,,Area of Study 2 - The Victorian civil justice system,VCELSU3AS2VCJS03,Descriptor,,The Victorian civil justice system,"On completion of this unit the student should be able to explain the key principles in the civil justice system, discuss the ability of remedies to achieve their purposes and evaluate the ability of the civil justice system to achieve the principles of justice during a civil dispute.",,6
Business and Economics,Legal Studies,Year 12,Unit 3,VCELSU3AS2,,Area of Study 2 - The Victorian civil justice system,VCELSU3AS2VCJS04,Descriptor,,The Victorian civil justice system,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.,,7
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS12,,,,UnitHeader,,"Unit 4: The people, the law and reform",,,0
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS12,,,,Paragraph,,"Unit 4: The people, the law and reform","The study of Australia's laws and legal system includes an understanding of institutions that make and reform our laws. In this unit, students explore how the Australian Constitution establishes the law-making powers of the Commonwealth and state parliaments, and how it protects the Australian people through structures that act as a check on parliament in law-making. Students develop an understanding of the significance of the High Court in protecting and interpreting the Australian Constitution. They investigate parliament and the courts, and the relationship between the two in law-making, and consider the roles of the individual, the media and law reform bodies in influencing changes to the law, and past and future constitutional reform. Throughout this unit, students apply legal reasoning and information to actual and/or hypothetical scenarios.",,1
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS1,,Area of Study 1 - The people and the law-makers,VCELSU4AS1PL01,Descriptor,,The people and the law-makers,The Australian Constitution establishes Australia’s parliamentary system and provides mechanisms to ensure that parliament does not make laws beyond its powers.,,1
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS1,,Area of Study 1 - The people and the law-makers,VCELSU4AS1PL01,Elaboration,,The people and the law-makers,,"Parliament is the supreme law-making body, and courts have a complementary role to parliament in making laws.",2
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS1,,Area of Study 1 - The people and the law-makers,VCELSU4AS1PL01,Elaboration,,The people and the law-makers,,Courts can make laws through the doctrine of precedent and through statutory interpretation when determining cases.,3
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS1,,Area of Study 1 - The people and the law-makers,VCELSU4AS1PL02,Descriptor,,The people and the law-makers,"In this area of study, students examine the ways in which the Australian Constitution acts as a check on parliament in law-making, and factors that affect the ability of parliament and courts to make law.",,4
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS1,,Area of Study 1 - The people and the law-makers,VCELSU4AS1PL02,Elaboration,,The people and the law-makers,,They explore the relationship between parliament and courts in law-making and consider the capacity of both institutions to make law.,5
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS1,,Area of Study 1 - The people and the law-makers,VCELSU4AS1PL03,Descriptor,,The people and the law-makers,On completion of this unit the student should be able to discuss the ability of parliament and courts to make law and evaluate the means by which the Australian Constitution acts as a check on parliament in law-making.,,6
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS1,,Area of Study 1 - The people and the law-makers,VCELSU4AS1PL04,Descriptor,,The people and the law-makers,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.,,7
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS2,,Area of Study 2 - The people and reform,VCELSU4AS2PR01,Descriptor,,The people and reform,"Laws should reflect the needs of society, but they can become outdated.",,1
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS2,,Area of Study 2 - The people and reform,VCELSU4AS2PR01,Elaboration,,The people and reform,,"Individuals and groups can actively participate to influence change to laws, and law reform bodies (including the Victorian Law Reform Commission, parliamentary committees, and Royal Commissions) can investigate and make recommendations for change.",2
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS2,,Area of Study 2 - The people and reform,VCELSU4AS2PR01,Elaboration,,The people and reform,,"Laws can be changed by parliament and the courts, while constitutional reform requires a referendum.",3
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS2,,Area of Study 2 - The people and reform,VCELSU4AS2PR02,Descriptor,,The people and reform,"In this area of study, students investigate the need for law reform and the means by which individuals and groups can influence change in the law.",,4
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS2,,Area of Study 2 - The people and reform,VCELSU4AS2PR02,Elaboration,,The people and reform,,"Students draw on examples of individuals, groups and the media influencing law reform, as well as examples from the past four years of inquiries of law reform bodies.",5
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS2,,Area of Study 2 - The people and reform,VCELSU4AS2PR02,Elaboration,,The people and reform,,"Students examine the relationship between the Australian people and the Australian Constitution, the reasons for and processes of constitutional reform, the 1967 referendum about First Nations people and the 2023 referendum about an Aboriginal and Torres Strait Islander Voice.",6
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS2,,Area of Study 2 - The people and reform,VCELSU4AS2PR03,Descriptor,,The people and reform,"On completion of this unit the student should be able to explain the reasons for law reform and constitutional reform, discuss the ability of individuals to change the Australian Constitution and influence a change in the law, and evaluate the ability of law reform bodies to influence a change in the law.",,7
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS2,,Area of Study 2 - The people and reform,VCELSU4AS2PR04,Descriptor,,The people and reform,To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 2.,,8
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS2,,Area of Study 2 - The people and reform,VCELSU4AS2PR05,Descriptor,,The people and reform,The examination will be set by a panel appointed by the VCAA.,,9
Business and Economics,Legal Studies,Year 12,Unit 4,VCELSU4AS2,,Area of Study 2 - The people and reform,VCELSU4AS2PR05,Elaboration,,The people and reform,,All the key knowledge and key skills that underpin the outcomes in Units 3 and 4 are examinable.,10
