SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,Section,SectionHeader,InfoType,Code,Sequence,Name,Explanation,Example,Definition,DefinitionSource,IsNew
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Type,VCEE12ATT01,1,Propositional,"Students were offered a proposition in relation to ideas/values presented in a text. Students were invited to challenge the proposition where warranted. The invitation was framed by one of the following instructions:
Discuss.
To what extent do you agree?
Do you agree?","In Pride and Prejudice, life is easier when individuals conform to social conventions. 
To what extent do you agree?
False Claims of Colonial Thieves suggests that, despite their differences, people should seek to understand each other. 
Discuss.
In High Ground, a desire for control is the most important factor in decision-making.
Do you agree?",,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Type,VCEE12ATT02,2,Quotation,"Students were offered a quotation as well as an instruction/proposition. The quotation related to the topic and thus the convention was that the student would discuss the way in which the quotation was addressing a key idea in the topic as part of their answer.
It is interesting to note that nearly half the topics fell into this category.","‘There’s nothing tragic about being 50, not unless you try to be 25.’
In Sunset Boulevard how does Wilder portray Hollywood’s infatuation with youth?",,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Type,VCEE12ATT03,3,Direct,Students are invited to answer a direct question about the text.,To what extent is deception harmful in Much Ado About Nothing?,,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Invitation,VCEE12ATI01,1,Explore the relationship between concepts,"A topic might ask students to consider two or more concepts and the validity of a specified relationship between the terms.
Responses can challenge the relationship but must address the ideas presented by the author in relation to the nominated concepts.","‘Tell her your story – I mean your own story.’
Requiem for a Beast suggests that shared stories are vital for connecting people and communities.
Discuss.",,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Invitation,VCEE12ATI02,2,Drill into a specific aspect of a concept presented by the text,A topic might ask students to ‘drill into’ a concept presented in a text and discuss one (or more) specified aspect(s) of the concept.,"In Oedipus the King all who deserve it are justly punished.
Do you agree?",,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Invitation,VCEE12ATI03,3,Consideration of concept/idea development in the text,Students might be asked how a concept/idea was explored in a text both by discussing the way ideas were introduced and developed and by exploring the way in which they were conveyed by the author.,How does Ottley explore the power of both guilt and forgiveness?,,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV01,1,attempts,,,"To make an effort to achieve, demonstrate, or convey something; to try to accomplish a particular interpretation, argument, or effect within the text",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV02,2,challenges,,,"To question, dispute, or test the validity of an idea, value, assumption, or established norm presented in or through the text",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV03,3,defends,,,"To argue in support of or justify a position, value, character, or idea; to present evidence that upholds or protects something from criticism",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV04,4,demonstrates,,,"To show clearly through evidence, examples, or argument; to make evident or prove a point about the text's ideas or values",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV05,5,determines,,,"To be the decisive factor in shaping, influencing, or controlling an outcome, character's fate, or thematic development",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV06,6,explores,,,"To examine, investigate, or consider in depth; to look at multiple aspects, perspectives, or implications of an idea, theme, or value",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV07,7,portrays,,,"To represent, depict, or characterise; to present a particular image, interpretation, or understanding of a character, setting, or idea",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV08,8,re-enforces,,,"To strengthen, support, or give additional weight to an idea, value, or theme; to confirm or intensify through repetition or emphasis",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV09,9,reveals,,,"To make known, uncover, or disclose something previously hidden or not immediately apparent about characters, themes, or values",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV10,10,shapes,,,"To influence, form, or determine the nature, development, or outcome of something; to mould understanding or perception",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV11,11,shows,,,"To present, display, or make visible; to demonstrate through the text's content, structure, or language how something is represented",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV12,12,is/are,,,"To assert a direct equivalence, identity, or inherent quality; to claim that something fundamentally equals or embodies a particular characteristic",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV13,13,is not/are not,,,"To assert a distinction, denial, or absence of a quality; to claim that something does not equal, embody, or possess a particular characteristic",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV14,14,interplays,,,"To show how two or more elements interact with, influence, and affect each other reciprocally; to examine the dynamic relationship between concepts",LLM-generated,Y
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Implication,VCEE12ATIM01,1,By the use of absolute terms,,"‘No one in My Brilliant Career is ever truly satisfied.’
Do you agree?",,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Implication,VCEE12ATIM02,2,"By the connotations of verbs, nouns or adjectives",,How does Johnson explore different perceptions of truth in High Ground?,,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Implication,VCEE12ATIM03,3,By the ‘silence’ in a proposition (or quote),,"‘Why should a man suffer so grievously for an offence he had committed inadvertently?’
In Things Fall Apart the consequences of actions are rarely fair.
Do you agree?",,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Implication,VCEE12ATIM04,4,By the use of adverbs,,"‘You can trust me. I am ready to help.’
In the play, the desire to behave honourably causes suffering.
To what extent do you agree?",,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Implication,VCEE12ATIM05,5,By the inclusion of a quote,,"‘Paradise is beneath your mother’s feet’
How does Erpenbeck explore what it means to belong?",,,N
